index,TimeStamp,Delta_TP9,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF8,Gamma_TP10,binary,participant
655,36:51.1,0.865304318,-0.157046327,0.678600883,0.507497093,0.018767977,0.452511238,1.253298303,0.670517737,1.393240184,0.463610506,0.467482479,0.579958539,0.186239807,0.591232818,0.50619994,1,D
656,36:52.1,0.904686165,-0.221253306,0.86095765,0.807444694,-0.043733566,0.743788824,1.323482937,0.649672623,1.406290644,0.479729072,0.393198171,0.623030605,0.24368481,0.574143043,0.604766312,1,D
657,36:53.1,0.513669796,-0.283929858,0.358439806,0.892301639,-0.006198954,0.747328414,1.46395639,0.605193845,1.268502399,0.508156513,0.405846163,0.434353776,0.002632807,0.544535132,0.613136849,1,D
658,36:54.1,0.366192629,-0.31887508,0.255789827,0.604018817,-0.40680344,0.287248997,1.431095088,0.189980014,1.251326983,0.542353413,0.50498448,0.441996228,0.120322496,0.614298936,0.547489014,1,D
659,36:55.1,0.399163375,-0.508284519,0.17636016,0.423869097,-0.466289129,0.301415559,1.035557776,0.063193411,1.160197307,0.426574249,0.450928344,0.378530624,-0.04186715,0.505569386,0.477801608,1,D
530,32:48.6,-0.019356692,-0.394559003,-0.129038465,0.069844057,-0.279067453,0.333000926,0.91579549,0.204509136,1.012945408,0.46854251,0.433767113,0.526246329,0.23431589,1.130139396,0.444747106,0,D
531,32:49.6,0.044643279,-0.375433297,-0.145772828,0.098191226,-0.439544909,0.146231285,0.831519256,0.362373248,1.014292979,0.508427985,0.540508252,0.429912727,0.142278183,1.043417465,0.299463048,0,D
532,32:50.6,0.139565559,-0.411857314,0.131444004,0.301794087,-0.521734936,0.078997157,1.348537408,0.204348712,1.088456435,0.377813428,0.478679722,0.476311798,0.18329205,1.029439608,0.229949635,0,D
533,32:51.6,0.186340982,-0.209145215,0.083502035,0.639151101,0.058303179,0.67239366,1.463518936,0.549195283,1.308069518,0.380422749,0.640907766,0.475818618,0.127224097,0.940211783,0.356340797,0,D
534,32:52.6,0.502653108,-0.13993881,0.293893971,0.423232903,0.236247656,0.558549396,1.147741092,0.428373853,1.221829851,0.39418406,0.750127659,0.379930819,-0.012194481,1.159943083,0.353419735,0,D
